"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 14:38:30 IST 2023","Wed Jun 21 14:38:48 IST 2023","17840","","TSc_04","","","","TC_55",""
"passed","Wed Jun 21 14:33:59 IST 2023","Wed Jun 21 14:34:06 IST 2023","6926","","TSc_03","","","","TC_32",""
"passed","Wed Jun 21 14:37:06 IST 2023","Wed Jun 21 14:37:18 IST 2023","12033","","TSc_04","","","","TC_48",""
"passed","Wed Jun 21 14:33:40 IST 2023","Wed Jun 21 14:33:45 IST 2023","4700","","TSc_03","","","","TC_30",""
"passed","Wed Jun 21 14:37:31 IST 2023","Wed Jun 21 14:37:44 IST 2023","12654","","TSc_04","","","","TC_50",""
"passed","Wed Jun 21 14:38:09 IST 2023","Wed Jun 21 14:38:19 IST 2023","9463","","TSc_04","","","","TC_53",""
"passed","Wed Jun 21 14:37:44 IST 2023","Wed Jun 21 14:37:55 IST 2023","11334","","TSc_04","","","","TC_51",""
"passed","Wed Jun 21 14:36:42 IST 2023","Wed Jun 21 14:36:53 IST 2023","11374","","TSc_04","","","","TC_46",""
"passed","Wed Jun 21 14:39:17 IST 2023","Wed Jun 21 14:39:37 IST 2023","20113","","TSc_04","","","","TC_58",""
"passed","Wed Jun 21 14:33:45 IST 2023","Wed Jun 21 14:33:59 IST 2023","14065","","TSc_03","","","","TC_31",""
"passed","Wed Jun 21 14:32:38 IST 2023","Wed Jun 21 14:32:53 IST 2023","14570","","TSc_03","","","","TC_25",""
"passed","Wed Jun 21 14:38:48 IST 2023","Wed Jun 21 14:39:03 IST 2023","14359","","TSc_04","","","","TC_56",""
"passed","Wed Jun 21 14:36:53 IST 2023","Wed Jun 21 14:37:06 IST 2023","12648","","TSc_04","","","","TC_47",""
"passed","Wed Jun 21 14:35:19 IST 2023","Wed Jun 21 14:35:31 IST 2023","11499","","TSc_04","","","","TC_39",""
"passed","Wed Jun 21 14:37:18 IST 2023","Wed Jun 21 14:37:31 IST 2023","12721","","TSc_04","","","","TC_49",""
"passed","Wed Jun 21 14:35:31 IST 2023","Wed Jun 21 14:35:43 IST 2023","12127","","TSc_04","","","","TC_40",""
"passed","Wed Jun 21 14:32:15 IST 2023","Wed Jun 21 14:32:33 IST 2023","17345","","TSc_03","","","","TC_23",""
"passed","Wed Jun 21 14:35:08 IST 2023","Wed Jun 21 14:35:19 IST 2023","10793","","TSc_04","","","","TC_38",""
"passed","Wed Jun 21 14:36:30 IST 2023","Wed Jun 21 14:36:42 IST 2023","11442","","TSc_04","","","","TC_45",""
"passed","Wed Jun 21 14:33:16 IST 2023","Wed Jun 21 14:33:40 IST 2023","24231","","TSc_03","","","","TC_29",""
"passed","Wed Jun 21 14:34:21 IST 2023","Wed Jun 21 14:34:25 IST 2023","3678","","TSc_03","","","","TC_34",""
"passed","Wed Jun 21 14:32:53 IST 2023","Wed Jun 21 14:32:57 IST 2023","4725","","TSc_03","","","","TC_26",""
"passed","Wed Jun 21 14:34:29 IST 2023","Wed Jun 21 14:34:32 IST 2023","3384","","TSc_03","","","","TC_36",""
"passed","Wed Jun 21 14:36:18 IST 2023","Wed Jun 21 14:36:30 IST 2023","11913","","TSc_04","","","","TC_44",""
"passed","Wed Jun 21 14:36:07 IST 2023","Wed Jun 21 14:36:18 IST 2023","11340","","TSc_04","","","","TC_43",""
"passed","Wed Jun 21 14:35:55 IST 2023","Wed Jun 21 14:36:07 IST 2023","11612","","TSc_04","","","","TC_42",""
"passed","Wed Jun 21 14:32:57 IST 2023","Wed Jun 21 14:33:12 IST 2023","14585","","TSc_03","","","","TC_27",""
"passed","Wed Jun 21 14:34:25 IST 2023","Wed Jun 21 14:34:29 IST 2023","3601","","TSc_03","","","","TC_35",""
"passed","Wed Jun 21 14:34:06 IST 2023","Wed Jun 21 14:34:21 IST 2023","15313","","TSc_03","","","","TC_33",""
"passed","Wed Jun 21 14:39:03 IST 2023","Wed Jun 21 14:39:17 IST 2023","13968","","TSc_04","","","","TC_57",""
"passed","Wed Jun 21 14:35:43 IST 2023","Wed Jun 21 14:35:55 IST 2023","11959","","TSc_04","","","","TC_41",""
"passed","Wed Jun 21 14:33:12 IST 2023","Wed Jun 21 14:33:16 IST 2023","3903","","TSc_03","","","","TC_28",""
"passed","Wed Jun 21 14:37:55 IST 2023","Wed Jun 21 14:38:09 IST 2023","14208","","TSc_04","","","","TC_52",""
"passed","Wed Jun 21 14:32:33 IST 2023","Wed Jun 21 14:32:38 IST 2023","5012","","TSc_03","","","","TC_24",""
"passed","Wed Jun 21 14:38:19 IST 2023","Wed Jun 21 14:38:30 IST 2023","11390","","TSc_04","","","","TC_54",""
"passed","Wed Jun 21 14:34:55 IST 2023","Wed Jun 21 14:35:08 IST 2023","13735","","TSc_04","","","","TC_37",""
